nombre;fecha_inicio;fecha_cierre;region;link;estado;descripcion_corta;requisitos
CONVOCATORIA CDPR METROPOLITANO 2026: VIRALIZA FORMACIÓN;04/05/2026;04/06/2026;Metropolitana;https://www.corfo.gob.cl/sites/cpp/convocatoria/cdpr-metropolitano-viraliza-formacion-2026/;Abiertas;"Se busca fortalecer la articulación entre los actores del ecosistema dinámico de la región Metropolitana, promoviendo colaboración, transferencia de conocimientos, herramientas, habilidades y/o metodologías, en los siguientes focos: Turismo Inteligente y Sostenible; Desarrollo Productivo Sostenible y Economía Circular; y Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos en la Región Metropolitana.";Beneficiarios: ⏎ Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile. ⏎ Bases legales ⏎ Focalización Territorial: ⏎ El proyecto debe ser ejecutado en la Región Metropolitana. En mérito de lo anterior, el número de Beneficiarios Atendidos y los resultados comprometidos se medirán únicamente en función de los participantes atendidos de dicha región. Además, la formulación del proyecto deberá tener coherencia con la Región Metropolitana de Santiago, considerando aspectos como conocimiento y experiencia ejecutando proyectos en ⏎ el territorio, con emprendedores relacionados con la categoría específica del llamado. ⏎ Focalización Temática: ⏎ a. Turismo Inteligente y Sostenible. ⏎ b. Desarrollo Productivo Sostenible y Economía Circular. ⏎ c. Emprendimiento orientado a ciudades inteligentes y encadenamientos productivos (ver documento de focalización y anexo N°1)
DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE AYSÉN – 1° CONVOCATORIA 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-region-de-aysen-1-convocatoria-2026/;Abiertas;Buscamos apoyar la materialización de proyectos de inversión productiva con potencial de generación de externalidades positivas, mediante el otorgamiento de un cofinanciamiento para la adquisición de activo fijo, habilitación de infraestructura productiva y capital de trabajo. Se entenderá por proyectos de inversión productiva, aquellos que tengan por objeto la producción y comercialización de bienes o servicios, que contribuyan al incremento de la actividad económica y generen nuevos empleos.;Contribuyentes que tributen en Primera Categoría. ⏎ Empresas privadas no constituidas en Chile, que tributen en los términos señalados en el numeral 1, o que desarrollen actividades similares a aquellas gravadas en Chile por el Impuesto de Primera Categoría, que desarrollen proyectos de inversión productiva o de servicios. ⏎ Bases legales ⏎ Proyecto de inversión estimado sea igual o superior a $ 12.000.000 (doce millones de pesos). ⏎ Cuando el beneficiario sea una empresa de base indígena o una cooperativa indígena, Proyecto de inversión estimado sea igual o superior a $ 10.000.000 (diez millones de pesos).
PAR – REGIÓN DE AYSÉN – 1° CONVOCATORIA 2026 LITORAL DE AYSÉN;04/05/2026;29/05/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/par-aysen-1-convocatoria-litoral-de-aysen-2026/;Abiertas;Programa que busca apoyar la reactivación productiva de micro y pequeñas empresas del litoral de la Región de Aysén, mediante el cofinanciamiento de proyectos de inversión que fortalezcan sus capacidades, mejoren su gestión y les permitan acceder a nuevas oportunidades de negocio.;Podrán postular proyectos que se ejecuten por contribuyentes de primera categoría del SII en las Comunas de Guaitecas, Aysén y Tortel. ⏎ La focalización temática es de carácter multisectorial, orientada a iniciativas que aborden distintas áreas de desarrollo vinculadas al litoral de Aysén. ⏎ Bases legales ⏎ En la comuna de Aysén se priorizará, según la focalización del CDPR Aysén, la localidad de Islas Huichas, que comprende los pueblos de Puerto Aguirre, Estero Copa y Caleta Andrade, debido a su condición estratégica y necesidades de desarrollo territorial en el litoral. ⏎ La postulación se realiza a través de alguno de los Agentes Operadores Intermediarios (AOI) de CORFO habilitados en la región de Aysén. Para efectos de la presente convocatoria Codesser o Gedes.
PRIMER CONCURSO INNOVA REGIÓN COMITÉ DE DESARROLLO PRODUCTIVO REGIONAL AYSÉN 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/primer-concurso-innova-region-comite-de-desarrollo-productivo-regional-aysen-2026/;Abiertas;Innova Región es un instrumento que busca apoyar el desarrollo de nuevos o mejorados productos (bienes o servicios) y/o procesos desde la fase de prototipo, hasta la fase de validación técnica a escala productiva y/o validación comercial, que aporten a la economía regional y fortalezcan las capacidades de innovación en la empresa.;Personas jurídicas constituidas en Chile. ⏎ Personas naturales que, al momento de postular, tengan cumplidos, a lo menos, 18 años de edad. ⏎ Bases legales ⏎ Al momento de la postulación, se deberá cumplir con los siguientes requisitos: ⏎ Haber transcurrido, a lo menos, 18 meses, contados desde la fecha de inicio de actividades en un giro empresarial de primera categoría, de conformidad con lo establecido en el artículo 20 de la Ley de Impuesto a la Renta (D.L. 824, de 1974), el cual debe encontrarse vigente. ⏎ Acreditar ingresos por ventas dentro de los 18 meses previos a la postulación (no necesariamente en todos los meses).
Semilla Inicia Aysén 2026 CDPR;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/semilla-inicia-aysen-cdpr-2026/;Abiertas;Buscamos apoyar a emprendedores y emprendedoras que cuenten con proyectos de negocios de alto potencial de crecimiento, mediante el cofinanciamiento de actividades para la validación técnica y comercial del emprendimiento, además de acceso a servicios de apoyo para su implementación y desarrollo.;Si postula como persona natural, debe tener más de 18 años y tener residencia en Chile. ⏎ Si postula como persona jurídica, la empresa debe tener una antigüedad máxima de 18 meses de inicio de actividades en SII contados desde la fecha de apertura de la convocatoria y no tener ventas hasta el mes calendario anterior a la apertura de la convocatoria, independiente de su giro. ⏎ Bases legales
VIRALIZA DIFUSION MEDIOS AYSEN 2026;04/05/2026;04/06/2026;Aysén;https://www.corfo.gob.cl/sites/cpp/convocatoria/viraliza-difusion-medios-aysen-2026/;Abiertas;Busca la difusión y promoción del emprendimiento y de la innovación, mediante la realización de programas audiovisuales, a ser transmitidos a través de medios de comunicación masiva, que permitan poner en conocimiento del público general casos relevantes de emprendimiento e innovación, con carácter motivacional e inspiracional, además, de metodologías y otros temas y materias ligadas al emprendimiento y la innovación en la Región de Aysén.;Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile ⏎ Bases legales
Viraliza Eventos Tarapacá 2026;04/05/2026;04/06/2026;Tarapacá;https://www.corfo.gob.cl/sites/cpp/convocatoria/viraliza-eventos-tarapaca-2026/;Abiertas;El objetivo será realizar eventos de alta convocatoria, de forma presencial, que promuevan el intercambio de conocimientos, generación de redes y traspaso de buenas prácticas relacionadas con el emprendimiento y la innovación, con la finalidad de acelerar el desarrollo y fortalecimiento de los ecosistemas de emprendimiento dinámico de la región.;Pueden postular personas jurídicas constituidas o creadas en Chile. ⏎ Bases legales ⏎ Coejecutores y/o asociados deben ser personas jurídicas constituidas o creadas en Chile.
Start-Up Chile – Build 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-build-12-2026/;Abiertas;"Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build” que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años. ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Podrán postular personas jurídicas con fines de lucro, constituidas en Chile, que ejecuten un proyecto global (de base tecnológica) que utilice a Chile como plataforma, y que no tengan iniciación de actividades ante el Servicio de Impuestos Internos por un período superior a 12 meses contados hacia atrás desde la fecha de apertura de la respectiva convocatoria.
Start-Up Chile – Growth 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-growth-12-2026/;Abiertas;"El Programa Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build”, que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Se deberá demostrar que el proyecto global (tanto en Chile como en el extranjero) ha tenido ingresos por ventas, en los 12 meses anteriores al mes de apertura del concurso de, al menos 2.400 UF y hasta 25.000 UF.
Start-Up Chile – Ignite 12;04/05/2026;25/05/2026;Todo Chile;https://www.corfo.gob.cl/sites/cpp/convocatoria/start-up-chile-ignite-12-2026/;Abiertas;"El Programa Start-Up Chile está compuesto por tres líneas que se funden en este instrumento; en primer lugar “Build”, que tiene por finalidad la pre-aceleración enfocada en desarrollo de MVP, prototipos y habilidades emprendedoras; en segundo lugar “Ignite”, que tiene por finalidad la aceleración de startups que utilicen a Chile como plataforma para el crecimiento comercial de nuevos negocios; y, en tercer lugar “Growth”.";Personas naturales chilenas o extranjeras, mayores de 18 años. ⏎ Personas jurídicas con fines de lucro, constituidas en Chile con iniciación de actividades ante el Servicio de Impuestos Internos. ⏎ Bases legales ⏎ Corresponde a una persona natural chilena o extranjera, que al momento de la postulación tenga cumplido, a lo menos, dieciocho años de edad, y sea fundador(a) o socio(a) de una persona jurídica extranjera que ejecuta un proyecto global (de base tecnológica) que utilice a Chile como plataforma. ⏎ Podrán postular personas jurídicas con fines de lucro, constituidas en Chile, que ejecuten un proyecto global (de base tecnológica) que utilice a Chile como plataforma, y que no tengan iniciación de actividades ante el Servicio de Impuestos Internos por un período superior a 36 meses contados hacia atrás desde la fecha de apertura de la respectiva convocatoria.
